player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date
JoshHart,AST,1.84,3.5,Over,por,den,3198663728,2022-12-09T03:00:00Z
JoshHart,AST,1.95,3.5,Under,por,den,3198663736,2022-12-09T03:00:00Z
JusufNurkic,AST,2.06,2.5,Over,por,den,3198663729,2022-12-09T03:00:00Z
JusufNurkic,AST,1.75,2.5,Under,por,den,3198663738,2022-12-09T03:00:00Z
DamianLillard,PTS,1.81,24.5,Over,por,den,3198663748,2022-12-09T03:00:00Z
DamianLillard,PTS,1.98,24.5,Under,por,den,3198663757,2022-12-09T03:00:00Z
DamianLillard,3PM,2.2,3.5,Over,por,den,3198663749,2022-12-09T03:00:00Z
DamianLillard,3PM,1.66,3.5,Under,por,den,3198663758,2022-12-09T03:00:00Z
JamalMurray,3PM,2.32,2.5,Over,por,den,3198663756,2022-12-09T03:00:00Z
JamalMurray,3PM,1.6,2.5,Under,por,den,3198663765,2022-12-09T03:00:00Z
JeramiGrant,3PM,2.33,2.5,Over,por,den,3198663764,2022-12-09T03:00:00Z
JeramiGrant,3PM,1.58,2.5,Under,por,den,3198663771,2022-12-09T03:00:00Z
AaronGordon,3PM,2.6,1.5,Over,por,den,3198663766,2022-12-09T03:00:00Z
AaronGordon,3PM,1.48,1.5,Under,por,den,3198663772,2022-12-09T03:00:00Z
JoshHart,ARP,1.81,20.5,Over,por,den,3198663990,2022-12-09T03:00:00Z
JoshHart,ARP,1.98,20.5,Under,por,den,3198663992,2022-12-09T03:00:00Z
JoshHart,PTS,1.84,9.5,Over,por,den,3198663993,2022-12-09T03:00:00Z
JoshHart,PTS,1.94,9.5,Under,por,den,3198663994,2022-12-09T03:00:00Z
AnferneeSimons,3PM,1.72,3.5,Over,por,den,3198663998,2022-12-09T03:00:00Z
AnferneeSimons,3PM,2.1,3.5,Under,por,den,3198664000,2022-12-09T03:00:00Z
JoshHart,3PM,1.85,0.5,Over,por,den,3198664001,2022-12-09T03:00:00Z
JoshHart,3PM,1.93,0.5,Under,por,den,3198664002,2022-12-09T03:00:00Z
JeramiGrant,PTS,1.89,20.5,Over,por,den,3198664175,2022-12-09T03:00:00Z
JeramiGrant,PTS,1.89,20.5,Under,por,den,3198664177,2022-12-09T03:00:00Z
JusufNurkic,PTS,2.02,14.5,Over,por,den,3198664179,2022-12-09T03:00:00Z
JusufNurkic,PTS,1.78,14.5,Under,por,den,3198664180,2022-12-09T03:00:00Z
JusufNurkic,REB,1.78,9.5,Over,por,den,3198664303,2022-12-09T03:00:00Z
JusufNurkic,REB,2.02,9.5,Under,por,den,3198664305,2022-12-09T03:00:00Z
JeramiGrant,REB,2.23,4.5,Over,por,den,3198664304,2022-12-09T03:00:00Z
JeramiGrant,REB,1.64,4.5,Under,por,den,3198664306,2022-12-09T03:00:00Z
JeramiGrant,ARP,1.9,27.5,Over,por,den,3198664344,2022-12-09T03:00:00Z
JeramiGrant,ARP,1.88,27.5,Under,por,den,3198664346,2022-12-09T03:00:00Z
JusufNurkic,ARP,1.86,26.5,Over,por,den,3198664345,2022-12-09T03:00:00Z
JusufNurkic,ARP,1.92,26.5,Under,por,den,3198664348,2022-12-09T03:00:00Z
AnferneeSimons,ARP,1.9,30.5,Over,por,den,3198664347,2022-12-09T03:00:00Z
AnferneeSimons,ARP,1.88,30.5,Under,por,den,3198664349,2022-12-09T03:00:00Z
AnferneeSimons,AST,2.23,4.5,Over,por,den,3198664350,2022-12-09T03:00:00Z
AnferneeSimons,AST,1.65,4.5,Under,por,den,3198664351,2022-12-09T03:00:00Z
JeramiGrant,AST,1.93,2.5,Over,por,den,3198664352,2022-12-09T03:00:00Z
JeramiGrant,AST,1.85,2.5,Under,por,den,3198664353,2022-12-09T03:00:00Z
NikolaJokic,3PM,1.63,0.5,Over,por,den,3198664544,2022-12-09T03:00:00Z
NikolaJokic,3PM,2.25,0.5,Under,por,den,3198664545,2022-12-09T03:00:00Z
NikolaJokic,PTS,1.88,23.5,Over,por,den,3198665094,2022-12-09T03:00:00Z
NikolaJokic,PTS,1.91,23.5,Under,por,den,3198665096,2022-12-09T03:00:00Z
AaronGordon,PTS,1.96,16.5,Over,por,den,3198665095,2022-12-09T03:00:00Z
AaronGordon,PTS,1.82,16.5,Under,por,den,3198665098,2022-12-09T03:00:00Z
JamalMurray,PTS,1.85,19.5,Over,por,den,3198665097,2022-12-09T03:00:00Z
JamalMurray,PTS,1.93,19.5,Under,por,den,3198665099,2022-12-09T03:00:00Z
