player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date,diff,actual,is_hit
JalenSmith,ARP,1.87,21.5,Over,ind,den,3186535221,2022-11-10T00:40:00Z,9.5,12.0,False
JalenSmith,ARP,1.91,21.5,Under,ind,den,3186535223,2022-11-10T00:40:00Z,9.5,12.0,True
JalenSmith,REB,2.0,7.5,Over,ind,den,3186535222,2022-11-10T00:40:00Z,2.5,5.0,False
JalenSmith,REB,1.8,7.5,Under,ind,den,3186535224,2022-11-10T00:40:00Z,2.5,5.0,True
JalenSmith,PTS,1.87,12.5,Over,ind,den,3186535225,2022-11-10T00:40:00Z,6.5,6.0,False
JalenSmith,PTS,1.91,12.5,Under,ind,den,3186535226,2022-11-10T00:40:00Z,6.5,6.0,True
BuddyHield,PTS,1.81,18.5,Over,ind,den,3186867067,2022-11-10T00:40:00Z,1.5,17.0,False
BuddyHield,PTS,1.98,18.5,Under,ind,den,3186867068,2022-11-10T00:40:00Z,1.5,17.0,True
BuddyHield,ARP,1.82,27.5,Over,ind,den,3186867069,2022-11-10T00:40:00Z,9.5,18.0,False
BuddyHield,ARP,1.96,27.5,Under,ind,den,3186867070,2022-11-10T00:40:00Z,9.5,18.0,True
AlHorford,REB,1.85,7.5,Over,bos,det,3186679847,2022-11-10T00:17:35Z,1.5,6.0,False
AlHorford,REB,1.93,7.5,Under,bos,det,3186679849,2022-11-10T00:17:35Z,1.5,6.0,True
SaddiqBey,REB,2.0,4.5,Over,bos,det,3186679852,2022-11-10T00:17:35Z,0.5,4.0,False
SaddiqBey,REB,1.79,4.5,Under,bos,det,3186679856,2022-11-10T00:17:35Z,0.5,4.0,True
BojanBogdanovic,REB,2.2,3.5,Over,bos,det,3186679857,2022-11-10T00:17:35Z,1.5,2.0,False
BojanBogdanovic,REB,1.66,3.5,Under,bos,det,3186679864,2022-11-10T00:17:35Z,1.5,2.0,True
AlHorford,ARP,1.82,19.5,Over,bos,det,3186679860,2022-11-10T00:17:35Z,1.5,21.0,True
